,X,Y,ELA,beta,cmb
77694,523490,8594290,469.83013916015625,0.005632210718952427,0.33376312255859375
77695,523490,8595290,469.83013916015625,0.005452480426449442,-0.7365144938230515
77696,523490,8596290,469.83013916015625,0.0052405418066697905,-0.899284839630127
77714,523490,8614290,533.8833618164062,0.005352415166249587,0.2977638244628906
77716,523490,8616290,517.3424682617188,0.005100272284272256,-0.012453079223632812
77717,523490,8617290,517.3424682617188,0.0051496670512620815,-0.5296030044555664
77718,523490,8618290,548.5177612304688,0.005461067813571433,0.08812332153320312
77719,523490,8619290,548.5177612304688,0.005550465517348816,0.228302001953125
77720,523490,8620290,556.6679077148438,0.005759413762165079,0.264068603515625
77721,523490,8621290,556.6679077148438,0.005605082214059656,-0.030927658081054688
77746,523490,8646290,548.6283569335938,0.004741336562204382,0.8274383544921875
77747,523490,8647290,548.6283569335938,0.0048772643636949085,-0.07750272750854492
77748,523490,8648290,548.6283569335938,0.004961370774877576,-1.0015525817871094
77768,523490,8668290,634.7724609375,0.00605720411447478,-1.3126335144042969
77783,523490,8683290,635.2498168945312,0.004224034005493032,0.41182708740234375
77786,523490,8686290,635.2498168945312,0.0039452817927338206,-0.4564657211303711
77788,523490,8688290,661.4924926757812,0.0041873480812328855,-0.28676605224609375
77790,523490,8690290,632.0650024414062,0.004436691359642645,0.19934463500976562
77791,523490,8691290,632.0650024414062,0.004377953309766025,0.5616340637207031
77792,523490,8692290,632.0650024414062,0.0040721636083507345,-0.3651466369628906
77825,523490,8725290,651.1419067382812,0.0034182953756357335,-0.685929536819458
77826,523490,8726290,651.1419067382812,0.0034182953756357335,-0.9629430770874023
77827,523490,8727290,651.1419067382812,0.0034182953756357335,-1.1172542572021484
77839,523490,8739290,651.1419067382812,0.004381184768407712,-1.6030960083007812
77841,523490,8741290,651.1419067382812,0.0043839594572648525,0.22026538848876953
77842,523490,8742290,651.1419067382812,0.004363800114287238,0.07777023315429688
77843,523490,8743290,690.646240234375,0.004575580990430848,0.08794403076171875
77844,523490,8744290,690.646240234375,0.0045063483897716545,-0.6784849166870117
77845,523490,8745290,690.646240234375,0.004425529843044825,0.21744060516357422
77846,523490,8746290,690.646240234375,0.004284754105677052,0.2299671173095703
77847,523490,8747290,690.646240234375,0.004393265356833623,0.20216751098632812
77848,523490,8748290,690.646240234375,0.004593098172590414,-0.8329181671142578
77849,523490,8749290,690.646240234375,0.004464576137783625,-1.3111076354980469
77850,523490,8750290,690.646240234375,0.004592508547649008,-1.7016830444335938
77854,523490,8754290,690.646240234375,0.004955563139423216,-0.7287101745605469
77855,523490,8755290,690.646240234375,0.006345025743502582,-1.3225746154785156
77912,523490,8812290,555.737060546875,0.00274706141829172,0.4872112274169922
77913,523490,8813290,555.737060546875,0.002563889180023646,0.8791427612304688
77914,523490,8814290,555.737060546875,0.0024378706161211207,1.1136856079101562
77915,523490,8815290,555.737060546875,0.002415289424904521,1.0859184265136719
77916,523490,8816290,555.737060546875,0.0024199890562570554,0.970916748046875
77921,523490,8821290,555.737060546875,0.0034883828203730927,0.9275245666503906
77924,523490,8824290,525.6835327148438,0.004090212809579479,-0.7843255996704102
77930,523490,8830290,525.6835327148438,0.004480700098348061,-0.7739028930664062
77933,523490,8833290,480.6209411621094,0.004499417953851067,1.1451988220214844
77934,523490,8834290,480.6209411621094,0.004404152298807045,1.0440254211425781
77935,523490,8835290,480.6209411621094,0.004281465845612468,0.5187301635742188
77936,523490,8836290,480.6209411621094,0.0038247028627772,0.4787788391113281
77937,523490,8837290,480.6209411621094,0.004095062882133896,0.36191368103027344
77938,523490,8838290,480.6209411621094,0.004079486357972571,0.2030487060546875
77939,523490,8839290,480.6209411621094,0.004011253522431121,-0.21371078491210938
77941,523490,8841290,485.3778381347656,0.003959871154930009,-0.18320465087890625
77942,523490,8842290,485.3778381347656,0.003919734387835457,-0.06439876556396484
77943,523490,8843290,463.4301452636719,0.003906792738241292,-0.04486560821533203
77944,523490,8844290,463.4301452636719,0.0038750231630327553,-0.0893869400024414
77946,523490,8846290,493.2386474609375,0.003990198532462915,-0.2707090377807617
77947,523490,8847290,493.2386474609375,0.0041888290394759735,-0.2486281394958496
77951,523490,8851290,497.6317443847656,0.004345788243331212,-0.32352781295776367
77952,523490,8852290,497.6317443847656,0.004487333249320644,-0.08834362030029297
77953,523490,8853290,493.6551818847656,0.0043201108902343,-0.04684257507324219
77954,523490,8854290,505.2249755859375,0.004307138222963586,-0.08009910583496094
77955,523490,8855290,505.2249755859375,0.004343279749958072,-0.16543865203857422
77956,523490,8856290,511.2568359375,0.004501061884658935,-0.38581180572509766
78178,524490,8528290,469.5716857910156,0.006405724472676351,0.8235435485839844
78179,524490,8529290,469.5716857910156,0.005316818521909441,1.21221923828125
78180,524490,8530290,469.5716857910156,0.004811418171133671,0.5414352416992188
78181,524490,8531290,423.7395324707031,0.0046763745835036105,0.4949150085449219
78182,524490,8532290,423.7395324707031,0.004864202286977467,-0.1269512176513672
78183,524490,8533290,423.7395324707031,0.004831476606959684,0.13312530517578125
78186,524490,8536290,423.7395324707031,0.00499864834237107,-0.6876072883605957
78187,524490,8537290,423.7395324707031,0.004982970559702043,-0.8627090454101562
78188,524490,8538290,423.7395324707031,0.005015808100283964,-0.7772151231765747
78189,524490,8539290,423.7395324707031,0.005052768687413092,1.2978363037109375
78190,524490,8540290,436.79254150390625,0.005092760765171321,1.5266876220703125
78207,524490,8557290,425.6261901855469,0.0065502410605728185,-2.615692138671875
78208,524490,8558290,428.5338439941406,0.0063851536284868365,-1.6042976379394531
78209,524490,8559290,428.5338439941406,0.006186854889928778,-0.7248258590698242
78210,524490,8560290,428.5338439941406,0.006077007788703086,-0.5303213596343994
78211,524490,8561290,522.8907470703125,0.006087551427500606,-1.0126419067382812
78212,524490,8562290,522.8907470703125,0.005980393276351487,-1.0379180908203125
78213,524490,8563290,522.8907470703125,0.005707134275517299,-0.774406909942627
78214,524490,8564290,522.8907470703125,0.005574805835650475,-0.7881865501403809
78215,524490,8565290,522.8907470703125,0.005716109578192095,-0.7210440039634705
78216,524490,8566290,522.8907470703125,0.0057314733613147584,-0.17819786071777344
78217,524490,8567290,522.8907470703125,0.0056695960994866115,-0.1896381378173828
78218,524490,8568290,522.8907470703125,0.0056216184504420735,-0.6701343059539795
78219,524490,8569290,522.8907470703125,0.005461275795130605,-0.6924917697906494
78220,524490,8570290,522.8907470703125,0.005561674754474008,-0.18125343322753906
78221,524490,8571290,522.8907470703125,0.005698945304452076,-0.7414383888244629
78222,524490,8572290,538.9735107421875,0.005644799006678313,-0.7724553942680359
78223,524490,8573290,538.9735107421875,0.005498729204441754,0.26149749755859375
78224,524490,8574290,538.9735107421875,0.005300674852641217,0.1849193572998047
78225,524490,8575290,538.9735107421875,0.005102529555816399,-0.19632530212402344
78226,524490,8576290,538.9735107421875,0.004991636295046832,-0.2308950424194336
78227,524490,8577290,548.7290649414062,0.004912848626283265,-0.7053792476654053
78228,524490,8578290,548.7290649414062,0.0049564802757852055,-0.8077877759933472
78229,524490,8579290,548.7290649414062,0.005083357818352829,-0.03018951416015625
78230,524490,8580290,532.8051147460938,0.005245706094420368,0.16218185424804688
78231,524490,8581290,532.8051147460938,0.005551064982286904,0.028024673461914062
78232,524490,8582290,532.8051147460938,0.005742319692695386,-0.17200660705566406
78233,524490,8583290,524.72998046875,0.006027372027468767,-0.7920007705688477
